bare	accented	translations_en	translations_de
машинизированный	машинизи'рованный	provided with machines	mechanisiert; auf maschinelle Fertigung umgestellt
меблированный	меблированный	furnished	möbliert
медлительно	медлительно	sluggishly	schwerfällig, zögernd, träge
местами	места'ми	here and there	stellenweise; örtlich
метёт	метёт	there is a snow-storm	Siehe : мести
микрография	микрография	micrography	
микрокалькулятор	микрокалькулятор	microcalculator	Taschenrechner
микрофарада	микрофарада	microfarad	
лётчик-миллионер	лётчик-миллионер	pilot who has flown over a million kilometres	
мимоездом	мимое'здом	in passing	auf der Durchfahrt / Durchreise, beim Vorüberfahren / Vorbeifahren / Durchfahren, in der Nähe
миндалины	минда'лины	tonsil	Siehe : миндалина
многообъективный	многообъективный	multilens, multiple-lens	
многоцилиндровый	многоцилиндровый	multicylinder	
множимое	мно'жимое	multiplicand	Multiplikand
моментами	моментами	now and then	siehe момент
мораториум	мораториум	moratorium	Moratorium, Aufschub
морозно	моро'зно	it freezes	kalt, es fröstelt / friert
мотогонки	мотогонки	motor-cycle races	Motorradrennen
моторалли	моторалли	motor-cycle rally	Motorradrallye
мультиплан	мультиплан	multiplane	
набело	на'бело	clean, fair	ins Reine (schreiben)
навыкат	навы'кат	bulging	hervorquellend, hervortretend
на-гора	на-гора'	to the surface, to the top	über Tage (Bergbau); zutage/zu Tage
назади	назади	behind	hinten, vorbei, hinter
назидательно	назида'тельно	didactically	belehrend
наипаче	наипа'че	still more, in paticular	ganz besonders, in Sonderheit
пруды-накопители	пруды-накопители	catching basins	
наперекосяк	наперекосяк	aslant, askew	kreuz und quer, schief
наперечёт	наперечёт	all without exception, there are few, there are not many	in- und auswendig; vereinzelt, zählbar, an einer Hand aufzuzählen
напрочно	на'прочно	firmly, solidly	für immer, ganz sicher
натрое	на'трое	in three	in drei Teile
натуго	на'туго	tightly	straff, prall, dick, steif
наудалую	наудалу'ю	recklessly	auf gut Glück, seinem glücklichen Stern vertrauend, tollkühn
нахрапом	нахра'пом	all of a rush, high-handedly	mit grober Gewalt, gewaltsam, dreist, unverschämt, unverfroren
нацело	на'цело	entirely, without a remainder, with nothing left over	ohne Rest, vollständig, glatt (beim Teilen von Zahlen)
начерно	на'черно	roughly	unrein, ins Unreine, als Konzept
нашармака	нашармака	without paying	auf fremde Kosten, für nass / umsonst
нашармачка	нашармачка'	without paying	auf fremde Kosten, für └ nass / umsonst┘
неблагополучно	неблагополу'чно	not happily, not favourably	missraten, unglücklich
небогато	небога'то	in a small way	karg, arm, ärmlich; knapp
небронированный	небронированный	unarmoured	
невидимкою	невиди'мкою	invisibly	Unsichtbare(r)
неволей	нево'лей	forcibly, by force	nolens
негладко	негла'дко	unevenly, not smoothly, not fluently	uneben, rauh, nicht glatt, holprig
недёшево	недёшево	at a considerable price, by spending much time, energy	ganz schön teuer, nicht billig
недоброжелательно	недоброжела'тельно	with ill-will	missgünstig, übelwollend, zum Nachteil gereichend
недостойно	недосто'йно	it is unworthy, unworthily, meanly	unwürdig, unverdient
нежирно	нежи'рно	nothing to write home about	mager, dürr, ärmlich
незаклеенный	незаклеенный	unsealed	
неизученный	неизученный	unstudied, obscure, unknown, unexplored	unerforscht
нелегально	нелега'льно	illegally	illegal
нелишне	нели'шне	it is not out of place	nicht überflüssig, nicht von Schaden
немалочисленный	немалочисленный	rather numerous	
немилосердно	немилосе'рдно	unmercifully	gnadenlos, unbarmherzig
немилостиво	неми'лостиво	ungraciously, severely	ungnädig; erbarmungslos, gnadenlos
ненадобно	нена'добно	not wanted, unwanted, not necessary, unnecessary	überflüssig, entbehrlich, unnötig
ненамеренно	ненаме'ренно	unintentionally, unwittingly	unabsichtlich, aus Versehen, nicht mit Absicht
необдуманно	необду'манно	rashly	unüberlegt
необусловленный	необусловленный	unstipulated	
неодолимо	неодоли'мо	invincibly	unübersichtlich
неоколониалистский	неоколониалистский	neo-colonialist	neokolonialistisch
неопрокидывающийся	неопрокидывающийся	non-capsizable	
неорганизованно	неорганизо'ванно	individually, each for himself, not organized	unorganisiert, undiszipliniert, wild
неосведомлённый	неосведомлённый	uninformed, ill-informed, unaware	uninformiert
неослабно	неосла'бно	unremittingly, assiduously	nicht nachlassend, nicht schwächer werdend / erlahmend, gespannt, unvermindert
неотлучно	неотлу'чно	continually, constantly, permanently	unzertrennlich, fest
неподобающе	неподобающе	in an unseemly manner, improperly	ungehörig, unschicklich
неполадки	неполадки	defects, fault, disagreement	Mißstände, Betriebsstörungen
непоследовательный	непосле'довательный	inconsistent, inconsequent	inkonsequent, nicht folgerichtig
непочтительно	непочти'тельно	disrespectfully	unehrerbietig, respektlos
непредубеждённый	непредубеждённый	unprejudiced, unbiased	unvoreingenommen
непредусмотрительный	непредусмотрительный	improvident	nicht vorsorglich, unbedacht
непрестанно	непреста'нно	incessantly	unaufhörlich, unablässig, unentwegt
непростительно	непрости'тельно	it is unforgivable, it is inexcusable, unpardonably	unverzeihlich
непутём	непутём	badly	verkehrt herum, falsch herum, grundfalsch
неравно	неравно'	what if, I should, you should	ungleich
несвязно	несвя'зно	incoherently	unzusammenhängend, zusammenhanglos, zusammenhangslos
несказанно	несказа'нно	unspeakably, ineffably	unsäglich
нетоварищеский	нетоварищеский	unfriendly, uncomradely, distant	
нетто	не'тто	net	netto; Netto
неуважительно	неуважи'тельно	disrespectfully	nicht zu respektieren, nicht anzuerkennen, nicht stichhaltig, nicht wichtig, nicht triftig; nicht achtend, nicht achtungsvoll, nicht ehrerbietig, nicht mit der angebrachten Ehrfurcht
неудовлетворительно	неудовлетвори'тельно	unsatisfactorily, unsatisfactory	unbefriedigend, ungenügend
неукрощённый	неукрощённый	untamed	
неурегулированный	неурегулированный	outstanding, not settled	
неусовершенствованный	неусовершенствованный	unimproved, not improved	
нефтеносный	нефтеносный	oil-bearing, petroliferous	erdölhaltig
нецелесообразно	нецелесообра'зно	to no purpose, inexpediently	unzweckmäßig
нешоссированный	нешоссированный	unmetalled	
низом	ни'зом	along the bottom	unten herum, im Flachland, in der Ebene
новобрачные	новобрачные	the newly-weds	junges Paar, Brautpaar
школа-новостройка	школа-новостройка	newly-built school	
номинально	номина'льно	nominally	nominell, Nenn-
ноты	но'ты	music	Noten, Notenheft
обдуманно	обдуманно	deliberately, after careful consideration	überlegt, mit Vorbedacht
обмороженный	обморо'женный	frost-bitten	erfroren
обок	о'бок	close by, near	einen Katzensprung entfernt, gleich daneben, direkt vor der Nase
обособленно	обосо'бленно	apart, aloof, by oneself	gesondert, einzeln, für sich genommen
